run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,num_outcomes,duration_steps,duration_bucket,clock_mode,split,nav,nav_per_deposit,nav_per_risk
adversarial,fpmm_compare_adv_0020,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,119.7970889160466165300718011,0.9225008107609516423360342350,0.9225008107609516423360342350
adversarial,fpmm_compare_adv_0020,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,21.35558452155802644096210301,0.9500333130683981883565579455,0.9500333130683981883565579455
adversarial,fpmm_compare_adv_0021,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,133.6140857270649260894791056,1.028898978494212340224012868,1.028898978494212340224012868
adversarial,fpmm_compare_adv_0021,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,24.10475625683428167232245412,1.072334097166437488405726709,1.072334097166437488405726709
adversarial,fpmm_compare_adv_0021,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,134.5552819265058293310992576,1.036146685971293266174996917,1.036146685971293266174996917
adversarial,fpmm_compare_adv_0021,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,23.09739151109881363993464657,1.027520054924078402778715144,1.027520054924078402778715144
adversarial,fpmm_compare_adv_0022,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,129.6436047794086638740274810,0.9983241796700883975837449428,0.9983241796700883975837449428
adversarial,fpmm_compare_adv_0022,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,23.38831321520444758118103317,1.040462117461208880584458932,1.040462117461208880584458932
adversarial,fpmm_compare_adv_0022,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,129.9301450403539490618958624,1.000530690908628795821561747,1.000530690908628795821561747
adversarial,fpmm_compare_adv_0022,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,23.07614368482702490891701056,1.026574815388812500761659568,1.026574815388812500761659568
adversarial,fpmm_compare_adv_0023,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,123.2900136191876693988893595,0.9493981744592690721864647384,0.9493981744592690721864647384
adversarial,fpmm_compare_adv_0023,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,22.24190437542544205631915471,0.9894625024852434113997634110,0.9894625024852434113997634110
adversarial,fpmm_compare_adv_0023,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,124.1719520298947362608684059,0.9561895656882216772627464159,0.9561895656882216772627464159
adversarial,fpmm_compare_adv_0023,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,21.33433669528623770994446702,0.9490880735331322863395023710,0.9490880735331322863395023710
adversarial,fpmm_compare_adv_0024,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,119.6524881222532220993426770,0.9213873083318186118752941961,0.9213873083318186118752941961
adversarial,fpmm_compare_adv_0024,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,20.79674495774748448494948067,0.8888888888888888888888888887,0.8888888888888888888888888887
adversarial,fpmm_compare_adv_0024,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,116.9529163234521736000662393,0.9005991807100647851760126824,0.9005991807100647851760126824
adversarial,fpmm_compare_adv_0024,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,23.39633807746592004556816576,1.000000000000000000000000000,1.000000000000000000000000000
